Comunidad Autonoma;Condiciones Materiales;Trabajo;Salud;Educacion;Seguridad;Ocio y relaciones
Andalucía;96,85;98,08;100,04;107,3;100,29;96,1
Aragón;103,1;103,87;102,48;111,73;105,03;100,59
Asturias, Principado de;102,49;99,83;98,62;111,34;106,81;95,83
Balears, Illes;99,5;104,89;102,19;104,4;99,64;97,99
Canarias;94,66;97,89;98,85;106,92;101,57;93,04
Cantabria;101,99;102,56;101,56;116,03;105,82;97,84
Castilla y León;102,64;101,5;101,19;110,94;105,82;98,33
Castilla - La Mancha;99,85;100,36;100,6;106,26;104,26;96,49
Cataluña;100,49;104,52;102,35;110,06;95,65;94,33
Comunitat Valenciana;99,6;101,71;101,43;109,63;100,5;97,63
Extremadura;98,52;96,83;100,12;108,08;105,04;99,22
Galicia;100,82;100,68;99,39;111,32;105,26;94,76
Madrid, Comunidad de;100,76;103,44;104,77;113,48;95,64;97,83
Murcia, Región de;98,33;100,39;100,17;105,26;99,08;93,97
Navarra, Comunidad Foral de;102,76;104,08;105,01;114,66;102,72;101,72
País Vasco;104,58;103,95;104,7;119,1;99,63;100,02
Rioja, La;103,2;103,03;102,27;108,89;105,75;100,17
Ceuta;90,63;94,42;98,91;99,13;89,11;95,75
Melilla;94,64;94,85;103,95;107,01;102,95;99,29
