Municipios;Periodo;Total;Nombre_Municipio
01001 Alegría-Dulantzi;2024;148.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2023;150.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2022;154.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2021;169.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2020;155.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2019;148.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2018;151.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2017;160.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2016;168.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2015;160.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2014;147.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2013;137.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2012;134.0;Alegría-Dulantzi
01002 Amurrio;2024;575.0;Amurrio
01002 Amurrio;2023;575.0;Amurrio
01002 Amurrio;2022;601.0;Amurrio
01002 Amurrio;2021;596.0;Amurrio
01002 Amurrio;2020;601.0;Amurrio
01002 Amurrio;2019;600.0;Amurrio
01002 Amurrio;2018;616.0;Amurrio
01002 Amurrio;2017;603.0;Amurrio
01002 Amurrio;2016;616.0;Amurrio
01002 Amurrio;2015;604.0;Amurrio
01002 Amurrio;2014;591.0;Amurrio
01002 Amurrio;2013;602.0;Amurrio
01002 Amurrio;2012;617.0;Amurrio
01003 Aramaio;2024;43.0;Aramaio
01003 Aramaio;2023;39.0;Aramaio
01003 Aramaio;2022;43.0;Aramaio
01003 Aramaio;2021;46.0;Aramaio
01003 Aramaio;2020;46.0;Aramaio
01003 Aramaio;2019;50.0;Aramaio
01003 Aramaio;2018;45.0;Aramaio
01003 Aramaio;2017;42.0;Aramaio
01003 Aramaio;2016;50.0;Aramaio
01003 Aramaio;2015;49.0;Aramaio
01003 Aramaio;2014;48.0;Aramaio
01003 Aramaio;2013;51.0;Aramaio
01003 Aramaio;2012;54.0;Aramaio
01004 Artziniega;2024;86.0;Artziniega
01004 Artziniega;2023;91.0;Artziniega
01004 Artziniega;2022;105.0;Artziniega
01004 Artziniega;2021;107.0;Artziniega
01004 Artziniega;2020;104.0;Artziniega
01004 Artziniega;2019;102.0;Artziniega
01004 Artziniega;2018;99.0;Artziniega
01004 Artziniega;2017;98.0;Artziniega
01004 Artziniega;2016;109.0;Artziniega
01004 Artziniega;2015;106.0;Artziniega
01004 Artziniega;2014;102.0;Artziniega
01004 Artziniega;2013;103.0;Artziniega
01004 Artziniega;2012;113.0;Artziniega
01006 Armiñón;2024;10.0;Armiñón
01006 Armiñón;2023;13.0;Armiñón
01006 Armiñón;2022;12.0;Armiñón
01006 Armiñón;2021;12.0;Armiñón
01006 Armiñón;2020;15.0;Armiñón
01006 Armiñón;2019;15.0;Armiñón
01006 Armiñón;2018;14.0;Armiñón
01006 Armiñón;2017;14.0;Armiñón
01006 Armiñón;2016;16.0;Armiñón
01006 Armiñón;2015;15.0;Armiñón
01006 Armiñón;2014;12.0;Armiñón
01006 Armiñón;2013;14.0;Armiñón
01006 Armiñón;2012;15.0;Armiñón
01008 Arratzua-Ubarrundia;2024;56.0;Arratzua-Ubarrundia
01008 Arratzua-Ubarrundia;2023;59.0;Arratzua-Ubarrundia
01008 Arratzua-Ubarrundia;2022;62.0;Arratzua-Ubarrundia
01008 Arratzua-Ubarrundia;2021;64.0;Arratzua-Ubarrundia
01008 Arratzua-Ubarrundia;2020;68.0;Arratzua-Ubarrundia
01008 Arratzua-Ubarrundia;2019;66.0;Arratzua-Ubarrundia
01008 Arratzua-Ubarrundia;2018;69.0;Arratzua-Ubarrundia
01008 Arratzua-Ubarrundia;2017;70.0;Arratzua-Ubarrundia
01008 Arratzua-Ubarrundia;2016;77.0;Arratzua-Ubarrundia
01008 Arratzua-Ubarrundia;2015;75.0;Arratzua-Ubarrundia
01008 Arratzua-Ubarrundia;2014;74.0;Arratzua-Ubarrundia
01008 Arratzua-Ubarrundia;2013;68.0;Arratzua-Ubarrundia
01008 Arratzua-Ubarrundia;2012;66.0;Arratzua-Ubarrundia
01009 Asparrena;2024;73.0;Asparrena
01009 Asparrena;2023;72.0;Asparrena
01009 Asparrena;2022;77.0;Asparrena
01009 Asparrena;2021;85.0;Asparrena
01009 Asparrena;2020;82.0;Asparrena
01009 Asparrena;2019;82.0;Asparrena
01009 Asparrena;2018;84.0;Asparrena
01009 Asparrena;2017;75.0;Asparrena
01009 Asparrena;2016;77.0;Asparrena
01009 Asparrena;2015;71.0;Asparrena
01009 Asparrena;2014;78.0;Asparrena
01009 Asparrena;2013;79.0;Asparrena
01009 Asparrena;2012;84.0;Asparrena
01010 Ayala/Aiara;2024;173.0;Ayala/Aiara
01010 Ayala/Aiara;2023;163.0;Ayala/Aiara
01010 Ayala/Aiara;2022;163.0;Ayala/Aiara
01010 Ayala/Aiara;2021;162.0;Ayala/Aiara
01010 Ayala/Aiara;2020;159.0;Ayala/Aiara
01010 Ayala/Aiara;2019;164.0;Ayala/Aiara
01010 Ayala/Aiara;2018;168.0;Ayala/Aiara
01010 Ayala/Aiara;2017;160.0;Ayala/Aiara
01010 Ayala/Aiara;2016;166.0;Ayala/Aiara
01010 Ayala/Aiara;2015;163.0;Ayala/Aiara
01010 Ayala/Aiara;2014;160.0;Ayala/Aiara
01010 Ayala/Aiara;2013;152.0;Ayala/Aiara
01010 Ayala/Aiara;2012;158.0;Ayala/Aiara
01011 Baños de Ebro/Mañueta;2024;30.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2023;30.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2022;35.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2021;36.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2020;38.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2019;38.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2018;35.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2017;37.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2016;39.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2015;38.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2014;44.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2013;48.0;Baños de Ebro/Mañueta
