NPRO;CUMUN;NMUN;ALQTBID12_M_VC_11
Albacete;2001;Abengibre;282.57142857142856
Albacete;2002;Alatoz;282.57142857142856
Albacete;2003;Albacete;450.0
Albacete;2004;Albatana;282.57142857142856
Albacete;2005;Alborea;282.57142857142856
Albacete;2006;Alcadozo;282.57142857142856
Albacete;2007;Alcalá del Júcar;282.57142857142856
Albacete;2008;Alcaraz;282.57142857142856
Albacete;2009;Almansa;317.0
Albacete;2010;Alpera;282.57142857142856
Albacete;2011;Ayna;282.57142857142856
Albacete;2012;Balazote;282.57142857142856
Albacete;2013;Balsa de Ves;282.57142857142856
Albacete;2014;Ballestero, El;282.57142857142856
Albacete;2015;Barrax;282.57142857142856
Albacete;2016;Bienservida;282.57142857142856
Albacete;2017;Bogarra;282.57142857142856
Albacete;2018;Bonete;282.57142857142856
Albacete;2019;Bonillo, El;282.57142857142856
Albacete;2020;Carcelén;282.57142857142856
Albacete;2021;Casas de Juan Núñez;282.57142857142856
Albacete;2022;Casas de Lázaro;282.57142857142856
Albacete;2023;Casas de Ves;282.57142857142856
Albacete;2024;Casas-Ibáñez;255.0
Albacete;2025;Caudete;275.0
Albacete;2026;Cenizate;282.57142857142856
Albacete;2027;Corral-Rubio;282.57142857142856
Albacete;2028;Cotillas;282.57142857142856
Albacete;2029;Chinchilla de Monte-Aragón;350.0
Albacete;2030;Elche de la Sierra;176.0
Albacete;2031;Férez;282.57142857142856
Albacete;2032;Fuensanta;282.57142857142856
Albacete;2033;Fuente-Álamo;282.57142857142856
Albacete;2034;Fuentealbilla;282.57142857142856
Albacete;2035;Gineta, La;282.57142857142856
Albacete;2036;Golosalvo;282.57142857142856
Albacete;2037;Hellín;272.0
Albacete;2038;Herrera, La;282.57142857142856
Albacete;2039;Higueruela;282.57142857142856
Albacete;2040;Hoya-Gonzalo;282.57142857142856
Albacete;2041;Jorquera;282.57142857142856
Albacete;2042;Letur;282.57142857142856
Albacete;2043;Lezuza;282.57142857142856
Albacete;2044;Liétor;282.57142857142856
Albacete;2045;Madrigueras;290.0
Albacete;2046;Mahora;282.57142857142856
Albacete;2047;Masegoso;282.57142857142856
Albacete;2048;Minaya;282.57142857142856
Albacete;2049;Molinicos;282.57142857142856
Albacete;2050;Montalvos;282.57142857142856
Albacete;2051;Montealegre del Castillo;282.57142857142856
Albacete;2052;Motilleja;282.57142857142856
Albacete;2053;Munera;282.57142857142856
Albacete;2054;Navas de Jorquera;282.57142857142856
Albacete;2055;Nerpio;282.57142857142856
Albacete;2056;Ontur;282.57142857142856
Albacete;2057;Ossa de Montiel;282.57142857142856
Albacete;2058;Paterna del Madera;282.57142857142856
Albacete;2059;Peñascosa;282.57142857142856
Albacete;2060;Peñas de San Pedro;282.57142857142856
Albacete;2061;Pétrola;282.57142857142856
Albacete;2062;Povedilla;282.57142857142856
Albacete;2063;Pozohondo;282.57142857142856
Albacete;2064;Pozo-Lorente;282.57142857142856
