Municipios;Periodo;Total;Nombre_Municipio
01001 Alegría-Dulantzi;2022;15116.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2021;14647.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2020;13969.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2019;14299.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2018;13361.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2017;13281.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2016;13086.0;Alegría-Dulantzi
01001 Alegría-Dulantzi;2015;12936.0;Alegría-Dulantzi
01002 Amurrio;2022;16011.0;Amurrio
01002 Amurrio;2021;15192.0;Amurrio
01002 Amurrio;2020;14683.0;Amurrio
01002 Amurrio;2019;14892.0;Amurrio
01002 Amurrio;2018;14103.0;Amurrio
01002 Amurrio;2017;13862.0;Amurrio
01002 Amurrio;2016;13691.0;Amurrio
01002 Amurrio;2015;13800.0;Amurrio
01003 Aramaio;2022;20201.0;Aramaio
01003 Aramaio;2021;18440.0;Aramaio
01003 Aramaio;2020;18386.0;Aramaio
01003 Aramaio;2019;18177.0;Aramaio
01003 Aramaio;2018;16478.0;Aramaio
01003 Aramaio;2017;16177.0;Aramaio
01003 Aramaio;2016;17194.0;Aramaio
01003 Aramaio;2015;15786.0;Aramaio
01004 Artziniega;2022;15651.0;Artziniega
01004 Artziniega;2021;14033.0;Artziniega
01004 Artziniega;2020;13335.0;Artziniega
01004 Artziniega;2019;13622.0;Artziniega
01004 Artziniega;2018;13157.0;Artziniega
01004 Artziniega;2017;12530.0;Artziniega
01004 Artziniega;2016;13185.0;Artziniega
01004 Artziniega;2015;12722.0;Artziniega
01006 Armiñón;2022;15755.0;Armiñón
01006 Armiñón;2021;16927.0;Armiñón
01006 Armiñón;2020;14278.0;Armiñón
01006 Armiñón;2019;15531.0;Armiñón
01006 Armiñón;2018;14671.0;Armiñón
01006 Armiñón;2017;13115.0;Armiñón
01006 Armiñón;2016;11330.0;Armiñón
01006 Armiñón;2015;13040.0;Armiñón
01008 Arratzua-Ubarrundia;2022;22484.0;Arratzua-Ubarrundia
01008 Arratzua-Ubarrundia;2021;19293.0;Arratzua-Ubarrundia
01008 Arratzua-Ubarrundia;2020;18813.0;Arratzua-Ubarrundia
01008 Arratzua-Ubarrundia;2019;19252.0;Arratzua-Ubarrundia
