Municipios;Periodo;Total
01001 Alegría-Dulantzi;2024;148
01001 Alegría-Dulantzi;2023;150
01001 Alegría-Dulantzi;2022;154
01001 Alegría-Dulantzi;2021;169
01001 Alegría-Dulantzi;2020;155
01001 Alegría-Dulantzi;2019;148
01001 Alegría-Dulantzi;2018;151
01001 Alegría-Dulantzi;2017;160
01001 Alegría-Dulantzi;2016;168
01001 Alegría-Dulantzi;2015;160
01001 Alegría-Dulantzi;2014;147
01001 Alegría-Dulantzi;2013;137
01001 Alegría-Dulantzi;2012;134
01002 Amurrio;2024;575
01002 Amurrio;2023;575
01002 Amurrio;2022;601
01002 Amurrio;2021;596
01002 Amurrio;2020;601
01002 Amurrio;2019;600
01002 Amurrio;2018;616
01002 Amurrio;2017;603
01002 Amurrio;2016;616
01002 Amurrio;2015;604
01002 Amurrio;2014;591
01002 Amurrio;2013;602
01002 Amurrio;2012;617
01003 Aramaio;2024;43
01003 Aramaio;2023;39
01003 Aramaio;2022;43
01003 Aramaio;2021;46
01003 Aramaio;2020;46
01003 Aramaio;2019;50
01003 Aramaio;2018;45
01003 Aramaio;2017;42
01003 Aramaio;2016;50
01003 Aramaio;2015;49
01003 Aramaio;2014;48
01003 Aramaio;2013;51
01003 Aramaio;2012;54
01004 Artziniega;2024;86
01004 Artziniega;2023;91
01004 Artziniega;2022;105
01004 Artziniega;2021;107
01004 Artziniega;2020;104
01004 Artziniega;2019;102
01004 Artziniega;2018;99
01004 Artziniega;2017;98
01004 Artziniega;2016;109
01004 Artziniega;2015;106
01004 Artziniega;2014;102
01004 Artziniega;2013;103
01004 Artziniega;2012;113
01006 Armiñón;2024;10
01006 Armiñón;2023;13
01006 Armiñón;2022;12
01006 Armiñón;2021;12
01006 Armiñón;2020;15
01006 Armiñón;2019;15
01006 Armiñón;2018;14
01006 Armiñón;2017;14
01006 Armiñón;2016;16
01006 Armiñón;2015;15
01006 Armiñón;2014;12
01006 Armiñón;2013;14
01006 Armiñón;2012;15
01008 Arratzua-Ubarrundia;2024;56
01008 Arratzua-Ubarrundia;2023;59
01008 Arratzua-Ubarrundia;2022;62
01008 Arratzua-Ubarrundia;2021;64
01008 Arratzua-Ubarrundia;2020;68
01008 Arratzua-Ubarrundia;2019;66
01008 Arratzua-Ubarrundia;2018;69
01008 Arratzua-Ubarrundia;2017;70
01008 Arratzua-Ubarrundia;2016;77
01008 Arratzua-Ubarrundia;2015;75
01008 Arratzua-Ubarrundia;2014;74
01008 Arratzua-Ubarrundia;2013;68
01008 Arratzua-Ubarrundia;2012;66
01009 Asparrena;2024;73
01009 Asparrena;2023;72
01009 Asparrena;2022;77
01009 Asparrena;2021;85
01009 Asparrena;2020;82
01009 Asparrena;2019;82
01009 Asparrena;2018;84
01009 Asparrena;2017;75
01009 Asparrena;2016;77
01009 Asparrena;2015;71
01009 Asparrena;2014;78
01009 Asparrena;2013;79
01009 Asparrena;2012;84
01010 Ayala/Aiara;2024;173
01010 Ayala/Aiara;2023;163
01010 Ayala/Aiara;2022;163
01010 Ayala/Aiara;2021;162
01010 Ayala/Aiara;2020;159
01010 Ayala/Aiara;2019;164
01010 Ayala/Aiara;2018;168
01010 Ayala/Aiara;2017;160
01010 Ayala/Aiara;2016;166
01010 Ayala/Aiara;2015;163
01010 Ayala/Aiara;2014;160
01010 Ayala/Aiara;2013;152
01010 Ayala/Aiara;2012;158
01011 Baños de Ebro/Mañueta;2024;30
01011 Baños de Ebro/Mañueta;2023;30
01011 Baños de Ebro/Mañueta;2022;35
01011 Baños de Ebro/Mañueta;2021;36
01011 Baños de Ebro/Mañueta;2020;38
01011 Baños de Ebro/Mañueta;2019;38
01011 Baños de Ebro/Mañueta;2018;35
01011 Baños de Ebro/Mañueta;2017;37
01011 Baños de Ebro/Mañueta;2016;39
01011 Baños de Ebro/Mañueta;2015;38
01011 Baños de Ebro/Mañueta;2014;44
01011 Baños de Ebro/Mañueta;2013;48
01011 Baños de Ebro/Mañueta;2012;49
01013 Barrundia;2024;64
01013 Barrundia;2023;66
01013 Barrundia;2022;67
01013 Barrundia;2021;66
01013 Barrundia;2020;59
01013 Barrundia;2019;61
01013 Barrundia;2018;67
01013 Barrundia;2017;63
01013 Barrundia;2016;66
01013 Barrundia;2015;62
01013 Barrundia;2014;54
01013 Barrundia;2013;56
01013 Barrundia;2012;57
01014 Berantevilla;2024;41
01014 Berantevilla;2023;38
01014 Berantevilla;2022;42
01014 Berantevilla;2021;42
01014 Berantevilla;2020;45
01014 Berantevilla;2019;45
01014 Berantevilla;2018;42
01014 Berantevilla;2017;40
01014 Berantevilla;2016;39
01014 Berantevilla;2015;36
01014 Berantevilla;2014;39
01014 Berantevilla;2013;38
01014 Berantevilla;2012;45
01016 Bernedo;2024;33
01016 Bernedo;2023;31
01016 Bernedo;2022;32
01016 Bernedo;2021;27
01016 Bernedo;2020;26
01016 Bernedo;2019;25
01016 Bernedo;2018;26
01016 Bernedo;2017;28
01016 Bernedo;2016;33
01016 Bernedo;2015;33
01016 Bernedo;2014;31
01016 Bernedo;2013;31
01016 Bernedo;2012;33
01017 Campezo/Kanpezu;2024;62
01017 Campezo/Kanpezu;2023;56
01017 Campezo/Kanpezu;2022;60
01017 Campezo/Kanpezu;2021;61
01017 Campezo/Kanpezu;2020;56
01017 Campezo/Kanpezu;2019;61
01017 Campezo/Kanpezu;2018;63
01017 Campezo/Kanpezu;2017;66
01017 Campezo/Kanpezu;2016;67
01017 Campezo/Kanpezu;2015;64
01017 Campezo/Kanpezu;2014;64
01017 Campezo/Kanpezu;2013;66
01017 Campezo/Kanpezu;2012;71
01018 Zigoitia;2024;133
01018 Zigoitia;2023;125
01018 Zigoitia;2022;134
01018 Zigoitia;2021;129
01018 Zigoitia;2020;127
01018 Zigoitia;2019;116
01018 Zigoitia;2018;111
01018 Zigoitia;2017;106
01018 Zigoitia;2016;111
01018 Zigoitia;2015;109
01018 Zigoitia;2014;100
01018 Zigoitia;2013;110
01018 Zigoitia;2012;95
01019 Kripan;2024;4
01019 Kripan;2023;4
01019 Kripan;2022;6
01019 Kripan;2021;5
01019 Kripan;2020;5
01019 Kripan;2019;4
01019 Kripan;2018;.
01019 Kripan;2017;.
01019 Kripan;2016;5
01019 Kripan;2015;5
01019 Kripan;2014;4
01019 Kripan;2013;5
01019 Kripan;2012;6
01020 Kuartango;2024;19
01020 Kuartango;2023;19
01020 Kuartango;2022;18
01020 Kuartango;2021;18
01020 Kuartango;2020;20
01020 Kuartango;2019;16
01020 Kuartango;2018;16
01020 Kuartango;2017;14
01020 Kuartango;2016;17
01020 Kuartango;2015;15
01020 Kuartango;2014;13
01020 Kuartango;2013;15
01020 Kuartango;2012;13
01021 Elburgo/Burgelu;2024;38
01021 Elburgo/Burgelu;2023;35
01021 Elburgo/Burgelu;2022;38
01021 Elburgo/Burgelu;2021;37
01021 Elburgo/Burgelu;2020;40
01021 Elburgo/Burgelu;2019;37
01021 Elburgo/Burgelu;2018;37
01021 Elburgo/Burgelu;2017;37
01021 Elburgo/Burgelu;2016;47
01021 Elburgo/Burgelu;2015;47
01021 Elburgo/Burgelu;2014;41
01021 Elburgo/Burgelu;2013;38
01021 Elburgo/Burgelu;2012;36
01022 Elciego;2024;65
01022 Elciego;2023;66
01022 Elciego;2022;74
01022 Elciego;2021;66
01022 Elciego;2020;63
01022 Elciego;2019;62
01022 Elciego;2018;73
01022 Elciego;2017;75
01022 Elciego;2016;80
01022 Elciego;2015;79
01022 Elciego;2014;79
01022 Elciego;2013;85
01022 Elciego;2012;84
01023 Elvillar/Bilar;2024;22
01023 Elvillar/Bilar;2023;23
01023 Elvillar/Bilar;2022;22
01023 Elvillar/Bilar;2021;23
01023 Elvillar/Bilar;2020;26
01023 Elvillar/Bilar;2019;28
01023 Elvillar/Bilar;2018;29
01023 Elvillar/Bilar;2017;28
01023 Elvillar/Bilar;2016;33
01023 Elvillar/Bilar;2015;33
01023 Elvillar/Bilar;2014;34
01023 Elvillar/Bilar;2013;32
01023 Elvillar/Bilar;2012;34
01027 Iruraiz-Gauna;2024;37
01027 Iruraiz-Gauna;2023;37
01027 Iruraiz-Gauna;2022;38
01027 Iruraiz-Gauna;2021;34
01027 Iruraiz-Gauna;2020;33
01027 Iruraiz-Gauna;2019;30
01027 Iruraiz-Gauna;2018;28
01027 Iruraiz-Gauna;2017;26
01027 Iruraiz-Gauna;2016;26
01027 Iruraiz-Gauna;2015;26
01027 Iruraiz-Gauna;2014;24
01027 Iruraiz-Gauna;2013;23
01027 Iruraiz-Gauna;2012;23
01028 Labastida/Bastida;2024;107
01028 Labastida/Bastida;2023;108
01028 Labastida/Bastida;2022;109
01028 Labastida/Bastida;2021;111
01028 Labastida/Bastida;2020;110
01028 Labastida/Bastida;2019;110
01028 Labastida/Bastida;2018;111
01028 Labastida/Bastida;2017;107
01028 Labastida/Bastida;2016;125
