NPRO;CUMUN;NMUN;ALQTBID12_M_VC_11
Albacete;2001;Abengibre;
Albacete;2002;Alatoz;
Albacete;2003;Albacete;450
Albacete;2004;Albatana;
Albacete;2005;Alborea;
Albacete;2006;Alcadozo;
Albacete;2007;Alcalá del Júcar;
Albacete;2008;Alcaraz;
Albacete;2009;Almansa;317
Albacete;2010;Alpera;
Albacete;2011;Ayna;
Albacete;2012;Balazote;
Albacete;2013;Balsa de Ves;
Albacete;2014;Ballestero, El;
Albacete;2015;Barrax;
Albacete;2016;Bienservida;
Albacete;2017;Bogarra;
Albacete;2018;Bonete;
Albacete;2019;Bonillo, El;
Albacete;2020;Carcelén;
Albacete;2021;Casas de Juan Núñez;
Albacete;2022;Casas de Lázaro;
Albacete;2023;Casas de Ves;
Albacete;2024;Casas-Ibáñez;255
Albacete;2025;Caudete;275
Albacete;2026;Cenizate;
Albacete;2027;Corral-Rubio;
Albacete;2028;Cotillas;
Albacete;2029;Chinchilla de Monte-Aragón;350
Albacete;2030;Elche de la Sierra;176
Albacete;2031;Férez;
Albacete;2032;Fuensanta;
Albacete;2033;Fuente-Álamo;
Albacete;2034;Fuentealbilla;
Albacete;2035;Gineta, La;
Albacete;2036;Golosalvo;
Albacete;2037;Hellín;272
Albacete;2038;Herrera, La;
Albacete;2039;Higueruela;
Albacete;2040;Hoya-Gonzalo;
Albacete;2041;Jorquera;
Albacete;2042;Letur;
Albacete;2043;Lezuza;
Albacete;2044;Liétor;
Albacete;2045;Madrigueras;290
Albacete;2046;Mahora;
Albacete;2047;Masegoso;
Albacete;2048;Minaya;
Albacete;2049;Molinicos;
Albacete;2050;Montalvos;
Albacete;2051;Montealegre del Castillo;
Albacete;2052;Motilleja;
Albacete;2053;Munera;
Albacete;2054;Navas de Jorquera;
Albacete;2055;Nerpio;
Albacete;2056;Ontur;
Albacete;2057;Ossa de Montiel;
Albacete;2058;Paterna del Madera;
Albacete;2059;Peñascosa;
Albacete;2060;Peñas de San Pedro;
Albacete;2061;Pétrola;
Albacete;2062;Povedilla;
Albacete;2063;Pozohondo;
Albacete;2064;Pozo-Lorente;
Albacete;2065;Pozuelo;
Albacete;2066;Recueja, La;
Albacete;2067;Riópar;230
Albacete;2068;Robledo;
Albacete;2069;Roda, La;300
Albacete;2070;Salobre;
Albacete;2071;San Pedro;
Albacete;2072;Socovos;
Albacete;2073;Tarazona de la Mancha;200
Albacete;2074;Tobarra;220
Albacete;2075;Valdeganga;
Albacete;2076;Vianos;
Albacete;2077;Villa de Ves;
Albacete;2078;Villalgordo del Júcar;
Albacete;2079;Villamalea;300
Albacete;2080;Villapalacios;
Albacete;2081;Villarrobledo;321
Albacete;2082;Villatoya;
Albacete;2083;Villavaliente;
Albacete;2084;Villaverde de Guadalimar;
Albacete;2085;Viveros;
Albacete;2086;Yeste;
Albacete;2901;Pozo Cañada;
Alicante;3001;Adsubia;
Alicante;3002;Agost;300
Alicante;3003;Agres;
Alicante;3004;Aigües;
Alicante;3005;Albatera;250
Alicante;3006;Alcalalí;
Alicante;3007;Alcocer de Planes;
Alicante;3008;Alcoleja;
Alicante;3009;Alcoy/Alcoi;290
Alicante;3010;Alfafara;
Alicante;3011;Alfàs del Pi, l';450
Alicante;3012;Algorfa;
Alicante;3013;Algueña;
Alicante;3014;Alicante/Alacant;417
Alicante;3015;Almoradí;270
Alicante;3016;Almudaina;
Alicante;3017;Alqueria d'Asnar, l';
Alicante;3018;Altea;434
Alicante;3019;Aspe;300
Alicante;3020;Balones;
Alicante;3021;Banyeres de Mariola;227
Alicante;3022;Benasau;
Alicante;3023;Beneixama;
Alicante;3024;Benejúzar;
Alicante;3025;Benferri;
Alicante;3026;Beniarbeig;369
Alicante;3027;Beniardá;
Alicante;3028;Beniarrés;
Alicante;3029;Benigembla;
Alicante;3030;Benidoleig;
Alicante;3031;Benidorm;425
Alicante;3032;Benifallim;
Alicante;3033;Benifato;
Alicante;3034;Benijófar;
Alicante;3035;Benilloba;
Alicante;3036;Benillup;
Alicante;3037;Benimantell;
Alicante;3038;Benimarfull;
Alicante;3039;Benimassot;
Alicante;3040;Benimeli;
Alicante;3041;Benissa;300
Alicante;3042;Benitachell/Poble Nou de Benitatxell, el;383
Alicante;3043;Biar;275
Alicante;3044;Bigastro;250
Alicante;3045;Bolulla;
Alicante;3046;Busot;
Alicante;3047;Calp;400
Alicante;3048;Callosa d'En Sarrià;300
Alicante;3049;Callosa de Segura;282
Alicante;3050;Campello, el;471
Alicante;3051;Campo de Mirra/Camp de Mirra, el;
Alicante;3052;Cañada;
Alicante;3053;Castalla;274
Alicante;3054;Castell de Castells;
Alicante;3055;Catral;
Alicante;3056;Cocentaina;251
Alicante;3057;Confrides;
Alicante;3058;Cox;298
Alicante;3059;Crevillent;276
Alicante;3060;Quatretondeta;
Alicante;3061;Daya Nueva;
Alicante;3062;Daya Vieja;
Alicante;3063;Dénia;400
Alicante;3064;Dolores;269
Alicante;3065;Elche/Elx;350
Alicante;3066;Elda;300
Alicante;3067;Facheca;
Alicante;3068;Famorca;
Alicante;3069;Finestrat;400
Alicante;3070;Formentera del Segura;300
Alicante;3071;Gata de Gorgos;313
