Municipios;Periodo;Total
02001 Abengibre;2022;13.063,0
02001 Abengibre;2021;12.188,0
02001 Abengibre;2020;11.675,0
02001 Abengibre;2019;11.132,0
02001 Abengibre;2018;10.854,0
02001 Abengibre;2017;9.704,0
02001 Abengibre;2016;9.690,0
02001 Abengibre;2015;9.290,0
02002 Alatoz;2022;11.346,0
02002 Alatoz;2021;10.771,0
02002 Alatoz;2020;9.866,0
02002 Alatoz;2019;9.596,0
02002 Alatoz;2018;9.255,0
02002 Alatoz;2017;8.540,0
02002 Alatoz;2016;8.008,0
02002 Alatoz;2015;7.880,0
02003 Albacete;2022;13.836,0
02003 Albacete;2021;13.146,0
02003 Albacete;2020;12.529,0
02003 Albacete;2019;12.282,0
02003 Albacete;2018;11.713,0
02003 Albacete;2017;11.223,0
02003 Albacete;2016;10.795,0
02003 Albacete;2015;10.515,0
02004 Albatana;2022;10.767,0
02004 Albatana;2021;10.026,0
02004 Albatana;2020;9.582,0
02004 Albatana;2019;8.943,0
02004 Albatana;2018;8.721,0
02004 Albatana;2017;7.940,0
02004 Albatana;2016;8.082,0
02004 Albatana;2015;7.587,0
02005 Alborea;2022;10.489,0
02005 Alborea;2021;9.881,0
02005 Alborea;2020;9.614,0
02005 Alborea;2019;9.591,0
02005 Alborea;2018;8.945,0
02005 Alborea;2017;8.491,0
02005 Alborea;2016;7.573,0
02005 Alborea;2015;7.235,0
02006 Alcadozo;2022;10.709,0
02006 Alcadozo;2021;10.086,0
02006 Alcadozo;2020;9.203,0
02006 Alcadozo;2019;9.297,0
02006 Alcadozo;2018;8.944,0
02006 Alcadozo;2017;8.123,0
02006 Alcadozo;2016;8.100,0
02006 Alcadozo;2015;7.446,0
02007 Alcalá del Júcar;2022;11.219,0
02007 Alcalá del Júcar;2021;10.480,0
02007 Alcalá del Júcar;2020;10.047,0
02007 Alcalá del Júcar;2019;9.712,0
02007 Alcalá del Júcar;2018;9.256,0
02007 Alcalá del Júcar;2017;8.506,0
02007 Alcalá del Júcar;2016;8.352,0
02007 Alcalá del Júcar;2015;8.110,0
02008 Alcaraz;2022;11.954,0
02008 Alcaraz;2021;10.630,0
02008 Alcaraz;2020;9.963,0
02008 Alcaraz;2019;9.717,0
02008 Alcaraz;2018;9.358,0
02008 Alcaraz;2017;8.495,0
02008 Alcaraz;2016;8.320,0
02008 Alcaraz;2015;8.097,0
02009 Almansa;2022;12.013,0
02009 Almansa;2021;11.263,0
02009 Almansa;2020;10.752,0
02009 Almansa;2019;10.794,0
02009 Almansa;2018;10.268,0
02009 Almansa;2017;9.776,0
02009 Almansa;2016;9.492,0
02009 Almansa;2015;9.029,0
02010 Alpera;2022;10.181,0
02010 Alpera;2021;9.645,0
02010 Alpera;2020;8.915,0
02010 Alpera;2019;8.818,0
02010 Alpera;2018;8.673,0
02010 Alpera;2017;7.941,0
02010 Alpera;2016;7.639,0
02010 Alpera;2015;7.540,0
02011 Ayna;2022;13.668,0
02011 Ayna;2021;11.990,0
02011 Ayna;2020;12.193,0
02011 Ayna;2019;11.858,0
02011 Ayna;2018;11.190,0
02011 Ayna;2017;10.725,0
02011 Ayna;2016;10.209,0
02011 Ayna;2015;10.179,0
02012 Balazote;2022;11.437,0
02012 Balazote;2021;10.495,0
02012 Balazote;2020;10.758,0
02012 Balazote;2019;11.271,0
02012 Balazote;2018;9.008,0
02012 Balazote;2017;9.462,0
02012 Balazote;2016;8.627,0
02012 Balazote;2015;8.033,0
02013 Balsa de Ves;2022;14.315,0
02013 Balsa de Ves;2021;13.701,0
02013 Balsa de Ves;2020;12.599,0
02013 Balsa de Ves;2019;12.219,0
02013 Balsa de Ves;2018;12.069,0
02013 Balsa de Ves;2017;9.342,0
02013 Balsa de Ves;2016;9.809,0
02013 Balsa de Ves;2015;9.373,0
02014 Ballestero, El;2022;11.931,0
02014 Ballestero, El;2021;11.587,0
02014 Ballestero, El;2020;11.205,0
02014 Ballestero, El;2019;11.256,0
02014 Ballestero, El;2018;10.203,0
02014 Ballestero, El;2017;9.423,0
02014 Ballestero, El;2016;8.469,0
02014 Ballestero, El;2015;8.743,0
02015 Barrax;2022;10.517,0
02015 Barrax;2021;9.992,0
02015 Barrax;2020;9.614,0
02015 Barrax;2019;9.220,0
02015 Barrax;2018;8.745,0
02015 Barrax;2017;8.224,0
02015 Barrax;2016;7.902,0
